,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Current Deferred Liabilities,60333000000.0,56328000000.0,53081000000.0,52980000000.0,
Current Deferred Revenue,60333000000.0,56328000000.0,53081000000.0,52980000000.0,
Current Debt And Capital Lease Obligation,1602000000.0,5500000000.0,5466000000.0,1564000000.0,
Current Capital Lease Obligation,410000000.0,373000000.0,341000000.0,329000000.0,
Current Debt,1192000000.0,5127000000.0,5125000000.0,1235000000.0,
Other Current Borrowings,1192000000.0,5127000000.0,5125000000.0,1235000000.0,
Pensionand Other Post Retirement Benefit Plans Current,6562000000.0,7194000000.0,6845000000.0,6573000000.0,
Current Provisions,2133000000.0,2448000000.0,2275000000.0,1900000000.0,
Payables And Accrued Expenses,18814000000.0,19658000000.0,18325000000.0,16961000000.0,
Current Accrued Expenses,7450000000.0,7694000000.0,8125000000.0,7700000000.0,
Interest Payable,796000000.0,652000000.0,599000000.0,641000000.0,
Payables,11364000000.0,11964000000.0,10200000000.0,9261000000.0,
Total Tax Payable,,,,5000000.0,43000000.0
Income Tax Payable,,,,5000000.0,43000000.0
Accounts Payable,11364000000.0,11964000000.0,10200000000.0,9261000000.0,
Total Assets,156363000000.0,137012000000.0,137100000000.0,138552000000.0,
Total Non Current Assets,28365000000.0,27737000000.0,27577000000.0,29886000000.0,
Other Non Current Assets,5414000000.0,4935000000.0,4163000000.0,5591000000.0,
Non Current Deferred Assets,185000000.0,59000000.0,63000000.0,77000000.0,
Non Current Deferred Taxes Assets,185000000.0,59000000.0,63000000.0,77000000.0,
Non Current Accounts Receivable,,,1450000000.0,1695000000.0,1936000000.0
Investments And Advances,999000000.0,1035000000.0,983000000.0,975000000.0,
Goodwill And Other Intangible Assets,10041000000.0,10187000000.0,10368000000.0,10630000000.0,
Other Intangible Assets,1957000000.0,2094000000.0,2311000000.0,2562000000.0,
Goodwill,8084000000.0,8093000000.0,8057000000.0,8068000000.0,
Net PPE,11726000000.0,11521000000.0,12000000000.0,10918000000.0,
Accumulated Depreciation,-22925000000.0,-22245000000.0,-21442000000.0,-20538000000.0,
Gross PPE,34651000000.0,33766000000.0,33442000000.0,31456000000.0,
Construction In Progress,2339000000.0,1679000000.0,1368000000.0,1235000000.0,
Other Properties,314000000.0,860000000.0,1450000000.0,,
Machinery Furniture Equipment,16660000000.0,16055000000.0,15844000000.0,15692000000.0,
Buildings And Improvements,14985000000.0,14795000000.0,14404000000.0,14152000000.0,
Land And Improvements,353000000.0,377000000.0,376000000.0,377000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,127998000000.0,109275000000.0,109523000000.0,108666000000.0,
Other Current Assets,2965000000.0,2504000000.0,2847000000.0,2221000000.0,
Inventory,87550000000.0,79741000000.0,78151000000.0,78823000000.0,
Finished Goods,75192000000.0,68683000000.0,67702000000.0,68106000000.0,
Work In Process,,,9073000000.0,9845000000.0,10739000000.0
Raw Materials,12358000000.0,11058000000.0,10449000000.0,10717000000.0,
Receivables,11201000000.0,11065000000.0,11305000000.0,11378000000.0,
Receivables Adjustments Allowances,-92000000.0,-89000000.0,-116000000.0,-390000000.0,
Other Receivables,8576000000.0,8441000000.0,8793000000.0,8742000000.0,
Accounts Receivable,2717000000.0,2713000000.0,2628000000.0,3026000000.0,
Cash Cash Equivalents And Short Term Investments,26282000000.0,15965000000.0,17220000000.0,16244000000.0,
Other Short Term Investments,12481000000.0,3274000000.0,2606000000.0,8192000000.0,
Cash And Cash Equivalents,13801000000.0,12691000000.0,14614000000.0,8052000000.0,
